ID,spp,ave_per_herb,st1_ave,st2_ave,2t3_ave,st1_lf_area_cm2,st1_lf_herbiv,st1_lf2_area,st1_lf2_herbiv,st1_lf3_area,st1_lf3_herbiv,st1_lf4_area,st1_lf4_herbiv,st1_lf5_area,st1_lf5_herbiv,st1_lf6_area,st1_lf6_herbiv,st1_lf7_area,st1_lf7_herbiv,st2_lf1_area,st2_lf1_herbiv,st2_lf2_area,st2_lf2_herbiv,st2_lf3_area,st2_lf3_herbiv,st2_lf4_area,st2_lf4_herbiv,st2_lf5_area,st2_lf5_herbiv,st2_lf6_area,st2_lf6_herbiv,st2_lf7_area,st2_lf7_herbiv,st3_lf1_area,st3_lf1_herbiv,st3_lf2_area,st3_lf2_herbiv,st3_lf3_area,st3_lf3_herbiv,st3_lf4_area,st3_lf4_herbiv
PLR2,alle,3.937,2.712956568,1.874655404,7.224223748,21.326,1.648,67.762,2.117,,,,,,,,,,,123.192,4.526,107.075,4.047,57.665,0.026,,,,,,,,,49.884,3.628,99.086,1.637,150.863,11.371,173.982,21.634
PLR8,alle,5.971,5.971455846,NA,NA,151.729,2.787,193.893,9.711,205.727,18.404,204.207,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLR10,alle,4.484,2.181178815,6.7873421,NA,,,,,91.599,4.706,138.747,4.977,197.949,0.252,209.464,0.818,,,95.51,16.163,137.29,0.123,133.093,7.926,131.31,5.491,,,141.153,7.331,,,,,,,,,,
PLR12,alle,2.670,2.670107497,NA,NA,101.112,9.544,129.532,1.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLR13,alle,1.058,1.038379314,1.078285625,NA,117.876,4.896,,,,,,,,,,,,,,,,,102.918,4.439,,,,,,,,,,,,,,,,
PLR16,alle,1.404,2.490942029,0.317079484,NA,,,49.128,4.895,,,,,114.556,5.305,129.614,3.503,136.257,5.868,,,,,,,50.224,0.637,,,,,,,,,,,,,,
PLR18,alle,1.380,1.380097643,NA,NA,119.349,2.185,243.873,8.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLR20,alle,3.078,3.078286176,NA,NA,301.946,9.407,302.742,4.113,254.369,13.557,174.421,4.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCI2,alle,1.335,1.334555342,NA,NA,206.573,4.211,189.986,6.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCI21,alle,5.231,5.231361318,NA,NA,224.835,3.176,253.915,19.026,290.33,12.572,295.7,22.738,,,,,,,,,,,,,,,105.677,0.437,148.487,2.036,167.662,2.8,,,,,,,,
vill3,vill,1.607,1.607235746,NA,NA,,,,,,,94.199,6.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vill7,vill,0.340,0.33998923,NA,NA,,,116.989,1.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,vill,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,